accessibility.chat.tts.says,chat.type.text.narrate
createWorld.customize.custom.biomeScaleOffset,createWorld.customize.custom.biomeScaleOffset
createWorld.customize.custom.biomeScaleWeight,createWorld.customize.custom.biomeScaleWeight
createWorld.customize.custom.biomeSize,createWorld.customize.custom.biomeSize
createWorld.customize.custom.confirm1,createWorld.customize.custom.confirm1
createWorld.customize.custom.confirm2,createWorld.customize.custom.confirm2
createWorld.customize.custom.confirmTitle,createWorld.customize.custom.confirmTitle
createWorld.customize.custom.coordinateScale,createWorld.customize.custom.coordinateScale
createWorld.customize.custom.defaults,createWorld.customize.custom.defaults
createWorld.customize.custom.depthNoiseScaleExponent,createWorld.customize.custom.depthNoiseScaleExponent
createWorld.customize.custom.depthNoiseScaleX,createWorld.customize.custom.depthNoiseScaleX
createWorld.customize.custom.depthNoiseScaleZ,createWorld.customize.custom.depthNoiseScaleZ
createWorld.customize.custom.dungeonChance,createWorld.customize.custom.dungeonChance
createWorld.customize.custom.fixedBiome,createWorld.customize.custom.fixedBiome
createWorld.customize.custom.heightScale,createWorld.customize.custom.heightScale
createWorld.customize.custom.lavaLakeChance,createWorld.customize.custom.lavaLakeChance
createWorld.customize.custom.lowerLimitScale,createWorld.customize.custom.lowerLimitScale
createWorld.customize.custom.mainNoiseScaleX,createWorld.customize.custom.mainNoiseScaleX
createWorld.customize.custom.mainNoiseScaleY,createWorld.customize.custom.mainNoiseScaleY
createWorld.customize.custom.mainNoiseScaleZ,createWorld.customize.custom.mainNoiseScaleZ
createWorld.customize.custom.next,createWorld.customize.custom.next
createWorld.customize.custom.page0,createWorld.customize.custom.page0
createWorld.customize.custom.page1,createWorld.customize.custom.page1
createWorld.customize.custom.page2,createWorld.customize.custom.page2
createWorld.customize.custom.page3,createWorld.customize.custom.page3
createWorld.customize.custom.preset.caveChaos,createWorld.customize.custom.preset.caveChaos
createWorld.customize.custom.preset.caveDelight,createWorld.customize.custom.preset.caveDelight
createWorld.customize.custom.preset.drought,createWorld.customize.custom.preset.drought
createWorld.customize.custom.preset.goodLuck,createWorld.customize.custom.preset.goodLuck
createWorld.customize.custom.preset.isleLand,createWorld.customize.custom.preset.isleLand
createWorld.customize.custom.preset.mountains,createWorld.customize.custom.preset.mountains
createWorld.customize.custom.preset.waterWorld,createWorld.customize.custom.preset.waterWorld
createWorld.customize.custom.presets,createWorld.customize.custom.presets
createWorld.customize.custom.presets.title,createWorld.customize.custom.presets.title
createWorld.customize.custom.prev,createWorld.customize.custom.prev
createWorld.customize.custom.randomize,createWorld.customize.custom.randomize
createWorld.customize.custom.riverSize,createWorld.customize.custom.riverSize
createWorld.customize.custom.seaLevel,createWorld.customize.custom.seaLevel
createWorld.customize.custom.stretchY,createWorld.customize.custom.stretchY
createWorld.customize.custom.upperLimitScale,createWorld.customize.custom.upperLimitScale
createWorld.customize.custom.useCaves,createWorld.customize.custom.useCaves
createWorld.customize.custom.useDungeons,createWorld.customize.custom.useDungeons
createWorld.customize.custom.useLavaLakes,createWorld.customize.custom.useLavaLakes
createWorld.customize.custom.useLavaOceans,createWorld.customize.custom.useLavaOceans
createWorld.customize.custom.useMineShafts,createWorld.customize.custom.useMineShafts
createWorld.customize.custom.useMonuments,createWorld.customize.custom.useMonuments
createWorld.customize.custom.useRavines,createWorld.customize.custom.useRavines
createWorld.customize.custom.useStrongholds,createWorld.customize.custom.useStrongholds
createWorld.customize.custom.useTemples,createWorld.customize.custom.useTemples
createWorld.customize.custom.useOceanRuins,createWorld.customize.custom.useOceanRuins
createWorld.customize.custom.useVillages,createWorld.customize.custom.useVillages
createWorld.customize.custom.useWaterLakes,createWorld.customize.custom.useWaterLakes
createWorld.customize.custom.waterLakeChance,createWorld.customize.custom.waterLakeChance
createWorld.customize.flat.height,createWorld.customize.flat.height
createWorld.customize.flat.removeLayer,createWorld.customize.flat.removeLayer
createWorld.customize.flat.tile,createWorld.customize.flat.tile
createWorld.customize.flat.title,createWorld.customize.flat.title
createWorld.customize.presets,createWorld.customize.presets
createWorld.customize.presets.list,createWorld.customize.presets.list
createWorld.customize.presets.select,createWorld.customize.presets.select
createWorld.customize.presets.title,createWorld.customize.presets.title
createWorldUpsell.button.world,selectWorld.newWorld
createWorldScreen.cheatSettings,selectWorld.cheats
createWorldScreen.worldOptions,mco.configure.world.buttons.options
createWorldScreen.bonusChest,selectWorld.bonusItems
createWorldScreen.experimentalgameplay,selectWorld.experiments
createWorldScreen.spectatorMode,gameMode.spectator
createWorldScreen.experimentalUpdateAnnounced2023,dataPack.update_1_21.name
createWorldScreen.experimentalUpdateAnnounced2023Description,dataPack.update_1_21.description
createWorldScreen.create,mco.create.world
createWorldScreen.delete,selectWorld.delete
createWorldScreen.gameMode,selectWorld.gameMode
createWorldScreen.gameMode.adventure,selectWorld.gameMode.adventure
createWorldScreen.gameMode.creative,selectWorld.gameMode.creative
createWorldScreen.gameMode.survival,selectWorld.gameMode.survival
createWorldScreen.gameMode.spectator,selectWorld.gameMode.spectator
createWorldScreen.gameMode.serverDefault,options.gamma.default
createWorldScreen.levelName,mco.configure.world.invite.profile.name
createWorldScreen.levelSeed,mco.backup.entry.seed
createWorldScreen.worldType,mco.backup.entry.worldType
createWorldScreen.serverSimDistance,options.simulationDistance
createWorldScreen.serverSimDistanceFormat,options.chunks
createWorldScreen.clearPlayerData.cancel,gui.cancel
createWorldScreen.upload,mco.backup.button.upload
realmsInvitationScreen.continue,gui.continue
realmsInvitationScreen.blocked,gui.socialInteractions.tab_blocked
realmsInvitationScreen.generate,jigsaw_block.generate
realmsInvitationScreen.backup,mco.brokenworld.download
realmsInvitationScreen.kick,mco.configure.world.invites.remove.tooltip
realmsSharingScreen.join,mco.configure.world.slot.tooltip.active
realmsCreateScreen.nameHeader.name,mco.configure.world.name
realmsCreateScreen.purchasePrefix.create,mco.create.world
realmsCreateScreen.purchasePrefix.renew,mco.selectServer.expiredRenew
realmsCreateScreen.goBack,dataPack.validation.back
realmsCreateScreen.purchaseConfirmation.cancel,gui.cancel
realmsCreateScreen.nameHeader,mco.configure.world.name
realmsConfigurationScreen.realmName,mco.configure.world.name
realmsConfigurationScreen.realmDescription,mco.configure.world.description
realmsConfigurationScreen.open,mco.configure.world.buttons.open
realmsConfigurationScreen.close,mco.configure.world.buttons.close
realmsPlusUpgradeNotice.continue,gui.continue
csbCreateScreen.goBack,dataPack.validation.back
networkWorld.add_server,selectServer.add
networkWorld.join_server,selectServer.select
networkWorld.description,gui.abuseReport.reason.description
networkWorld.join,mco.configure.world.slot.tooltip.active
realmsSlotsScreen.new,selectWorld.newWorld
realmsSlotsScreen.readyToPlay,narrator.ready_to_play
realmsSlotsScreen.editWorld,selectWorld.edit.title
realmsSettingsScreen.deleteRealmButton,mco.configure.world.delete.button
realmsSettingsScreen.openRealmButton,mco.configure.world.buttons.open
realmsSettingsScreen.closeRealmButton,mco.configure.world.buttons.close
realmsSettingsScreen.playRealmButton,mco.selectServer.play
realmsSettingsScreen.worldSectionTitle,createWorld.tab.world.title
realmsSettingsScreen.playersSectionTitle,mco.configure.world.players.title
realmsSettingsScreen.subscriptionSectionTitle,mco.configure.world.buttons.subscription
realmsSettingsScreen.backupVersion,mco.version
realmsSettingsScreen.deleteRealm,mco.configure.world.delete.button
realmsSettingsScreen.realmNameLabel,mco.configure.world.name
realmsSettingsScreen.resetWorldButton,mco.backup.button.reset
realmsSettingsScreen.uploadWorldButton,mco.backup.button.upload
realmsSettingsScreen.difficultyOptionLabelFormat,attribute.modifier.equals.0
realmsSettingsScreen.gameModeOptionLabel,telemetry.property.game_mode.title
realmsSettingsScreen.survivalRadioButton,selectWorld.gameMode.survival
realmsSettingsScreen.creativeRadioButton,selectWorld.gameMode.creative
realmsSettingsScreen.reset,mco.brokenworld.reset
realmsSettingsScreen.searchBox,gui.socialInteractions.search_hint
realmsSettingsScreen.extendConsumableButton,mco.configure.world.subscription.extend
death.attack.anvil,death.attack.anvil
death.attack.arrow,death.attack.arrow
death.attack.arrow.item,death.attack.arrow.item
death.attack.cactus,death.attack.cactus
death.attack.drown,death.attack.drown
death.attack.explosion,death.attack.explosion
death.attack.explosion.player,death.attack.explosion.player
death.attack.fall,death.attack.fall
death.attack.fallingBlock,death.attack.fallingBlock
death.attack.fireball,death.attack.fireball
death.attack.fireball.item,death.attack.fireball.item
death.attack.fireworks,death.attack.fireworks
death.attack.flyIntoWall,death.attack.flyIntoWall
death.attack.generic,death.attack.generic
death.attack.indirectMagic,death.attack.indirectMagic
death.attack.indirectMagic.item,death.attack.indirectMagic.item
death.attack.inFire,death.attack.inFire
death.attack.inWall,death.attack.inWall
death.attack.lava,death.attack.lava
death.attack.lava.player,death.attack.lava.player
death.attack.lightningBolt,death.attack.lightningBolt
death.attack.magic,death.attack.magic
death.attack.magma,death.attack.hotFloor
death.attack.mob,death.attack.mob
death.attack.mob.item,death.attack.mob.item
death.attack.onFire,death.attack.onFire
death.attack.outOfWorld,death.attack.outOfWorld
death.attack.player,death.attack.player
death.attack.player.item,death.attack.player.item
death.attack.starve,death.attack.starve
death.attack.sweetBerry,death.attack.sweetBerryBush
death.attack.thrown,death.attack.thrown
death.attack.thrown.item,death.attack.thrown.item
death.attack.wither,death.attack.wither
death.attack.freeze,death.attack.freeze
death.attack.sonicBoom,death.attack.sonic_boom
death.attack.stalactite,death.attack.fallingStalactite
death.attack.stalagmite,death.attack.stalagmite
death.fell.accident.generic,death.fell.accident.generic
death.fell.accident.ladder,death.fell.accident.ladder
death.fell.accident.vines,death.fell.accident.vines
death.fell.assist,death.fell.assist
death.fell.assist.item,death.fell.assist.item
death.fell.finish,death.fell.finish
death.fell.finish.item,death.fell.finish.item
death.fell.killer,death.fell.killer
deathScreen.message,deathScreen.title
deathScreen.quit.confirm,deathScreen.quit.confirm
deathScreen.respawn,deathScreen.respawn
deathScreen.score,deathScreen.score
deathScreen.title,deathScreen.title
deathScreen.title.hardcore,deathScreen.title.hardcore
deathScreen.titleScreen,deathScreen.titleScreen
demo.day.2,demo.day.2
demo.day.3,demo.day.3
demo.day.4,demo.day.4
demo.day.5,demo.day.5
demo.day.warning,demo.day.warning
demo.demoExpired,demo.demoExpired
demo.help.buy,demo.help.buy
demo.help.later,demo.help.later
demo.help.movementMouse,demo.help.movementMouse
demo.help.title,demo.help.title
demo.remainingTime,demo.remainingTime
difficulty.lock.question,difficulty.lock.question
difficulty.lock.title,difficulty.lock.title
dimension.dimensionName0,flat_world_preset.minecraft.overworld
dimension.dimensionName1,advancements.nether.root.title
dimension.dimensionName2,advancements.end.root.title
disconnect.closed,disconnect.closed
disconnect.disconnected,disconnect.disconnected
disconnect.endOfStream,disconnect.endOfStream
disconnect.genericReason,disconnect.genericReason
disconnect.lost,disconnect.lost
disconnect.overflow,disconnect.overflow
disconnect.quitting,disconnect.quitting
disconnect.spam,disconnect.spam
disconnect.timeout,disconnect.timeout
edu.worlds_screen.new_world,selectWorld.newWorld
edu.worlds_screen.play,mco.brokenworld.play
edu.worlds_screen.settings,mco.configure.world.buttons.edit
edu.worlds_screen.back,gui.back
edu.worlds_screen.delete,key.keyboard.delete
edu.templates.delete,key.keyboard.delete
edu.templates.delete_confirm,key.keyboard.delete
effect.badOmen,effect.minecraft.bad_omen
effect.villageHero,effect.minecraft.hero_of_the_village
enchantment.arrowDamage,enchantment.minecraft.power
enchantment.arrowFire,enchantment.minecraft.flame
enchantment.arrowInfinite,enchantment.minecraft.infinity
enchantment.arrowKnockback,enchantment.minecraft.punch
enchantment.crossbowMultishot,enchantment.minecraft.multishot
enchantment.crossbowPiercing,enchantment.minecraft.piercing
enchantment.crossbowQuickCharge,enchantment.minecraft.quick_charge
enchantment.curse.binding,enchantment.minecraft.binding_curse
enchantment.curse.vanishing,enchantment.minecraft.vanishing_curse
enchantment.damage.all,enchantment.minecraft.sharpness
enchantment.damage.arthropods,enchantment.minecraft.bane_of_arthropods
enchantment.damage.undead,enchantment.minecraft.smite
enchantment.digging,enchantment.minecraft.efficiency
enchantment.durability,enchantment.minecraft.unbreaking
enchantment.fire,enchantment.minecraft.fire_aspect
enchantment.fishingSpeed,enchantment.minecraft.lure
enchantment.frostwalker,enchantment.minecraft.frost_walker
enchantment.knockback,enchantment.minecraft.knockback
enchantment.level.1,enchantment.level.1
enchantment.level.10,enchantment.level.10
enchantment.level.2,enchantment.level.2
enchantment.level.3,enchantment.level.3
enchantment.level.4,enchantment.level.4
enchantment.level.5,enchantment.level.5
enchantment.level.6,enchantment.level.6
enchantment.level.7,enchantment.level.7
enchantment.level.8,enchantment.level.8
enchantment.level.9,enchantment.level.9
enchantment.lootBonus,enchantment.minecraft.looting
enchantment.lootBonusDigger,enchantment.minecraft.fortune
enchantment.lootBonusFishing,enchantment.minecraft.luck_of_the_sea
enchantment.mending,enchantment.minecraft.mending
enchantment.oxygen,enchantment.minecraft.respiration
enchantment.protect.all,enchantment.minecraft.protection
enchantment.protect.explosion,enchantment.minecraft.blast_protection
enchantment.protect.fall,enchantment.minecraft.feather_falling
enchantment.protect.fire,enchantment.minecraft.fire_protection
enchantment.protect.projectile,enchantment.minecraft.projectile_protection
enchantment.soul_speed,enchantment.minecraft.soul_speed
enchantment.swift_sneak,enchantment.minecraft.swift_sneak
enchantment.thorns,enchantment.minecraft.thorns
enchantment.untouching,enchantment.minecraft.silk_touch
enchantment.waterWalker,enchantment.minecraft.depth_strider
enchantment.waterWorker,enchantment.minecraft.aqua_affinity
enchantment.tridentChanneling,enchantment.minecraft.channeling
enchantment.tridentLoyalty,enchantment.minecraft.loyalty
enchantment.tridentRiptide,enchantment.minecraft.riptide
enchantment.tridentImpaling,enchantment.minecraft.impaling
entity.area_effect_cloud.name,entity.minecraft.area_effect_cloud
entity.armor_stand.name,entity.minecraft.armor_stand
entity.arrow.name,entity.minecraft.arrow
entity.bat.name,entity.minecraft.bat
entity.bee.name,entity.minecraft.bee
entity.blaze.name,entity.minecraft.blaze
entity.boat.name,entity.minecraft.boat
entity.cat.name,entity.minecraft.cat
entity.cave_spider.name,entity.minecraft.cave_spider
entity.chicken.name,entity.minecraft.chicken
entity.cow.name,entity.minecraft.cow
entity.creeper.name,entity.minecraft.creeper
entity.dolphin.name,entity.minecraft.dolphin
entity.goat.name,entity.minecraft.goat
entity.panda.name,entity.minecraft.panda
entity.donkey.name,entity.minecraft.donkey
entity.dragon_fireball.name,entity.minecraft.dragon_fireball
entity.drowned.name,entity.minecraft.drowned
entity.egg.name,item.minecraft.egg
entity.elder_guardian.name,entity.minecraft.elder_guardian
entity.ender_dragon.name,entity.minecraft.ender_dragon
entity.enderman.name,entity.minecraft.enderman
entity.endermite.name,entity.minecraft.endermite
entity.ender_pearl.name,item.minecraft.ender_pearl
entity.evocation_illager.name,entity.minecraft.evoker
entity.eye_of_ender_signal.name,entity.minecraft.eye_of_ender
entity.falling_block.name,entity.minecraft.falling_block
entity.fireball.name,entity.minecraft.fireball
entity.fireworks_rocket.name,entity.minecraft.firework_rocket
entity.fish.clownfish.name,entity.minecraft.tropical_fish.predefined.5
entity.fox.name,entity.minecraft.fox
entity.cod.name,entity.minecraft.cod
entity.pufferfish.name,entity.minecraft.pufferfish
entity.salmon.name,entity.minecraft.salmon
entity.tropicalfish.name,entity.minecraft.tropical_fish
entity.axolotl.name,entity.minecraft.axolotl
entity.ghast.name,entity.minecraft.ghast
entity.glow_squid.name,entity.minecraft.glow_squid
entity.piglin_brute.name,entity.minecraft.piglin_brute
entity.guardian.name,entity.minecraft.guardian
entity.hoglin.name,entity.minecraft.hoglin
entity.horse.name,entity.minecraft.horse
entity.husk.name,entity.minecraft.husk
entity.ravager.name,entity.minecraft.ravager
entity.iron_golem.name,entity.minecraft.iron_golem
entity.item.name,entity.minecraft.item
entity.leash_knot.name,entity.minecraft.leash_knot
entity.lightning_bolt.name,entity.minecraft.lightning_bolt
entity.lingering_potion.name,item.minecraft.lingering_potion
entity.llama.name,entity.minecraft.llama
entity.trader_llama.name,entity.minecraft.trader_llama
entity.llama_spit.name,entity.minecraft.llama_spit
entity.magma_cube.name,entity.minecraft.magma_cube
entity.minecart.name,entity.minecraft.minecart
entity.chest_minecart.name,entity.minecraft.chest_minecart
entity.command_block_minecart.name,entity.minecraft.command_block_minecart
entity.furnace_minecart.name,entity.minecraft.furnace_minecart
entity.hopper_minecart.name,entity.minecraft.hopper_minecart
entity.tnt_minecart.name,entity.minecraft.tnt_minecart
entity.mule.name,entity.minecraft.mule
entity.mooshroom.name,entity.minecraft.mooshroom
entity.ocelot.name,entity.minecraft.ocelot
entity.painting.name,entity.minecraft.painting
entity.parrot.name,entity.minecraft.parrot
entity.phantom.name,entity.minecraft.phantom
entity.pig.name,entity.minecraft.pig
entity.piglin.name,entity.minecraft.piglin
entity.pillager.name,entity.minecraft.pillager
entity.polar_bear.name,entity.minecraft.polar_bear
entity.rabbit.name,entity.minecraft.rabbit
entity.sheep.name,entity.minecraft.sheep
entity.shulker.name,entity.minecraft.shulker
entity.shulker_bullet.name,entity.minecraft.shulker_bullet
entity.silverfish.name,entity.minecraft.silverfish
entity.skeleton.name,entity.minecraft.skeleton
entity.skeleton_horse.name,entity.minecraft.skeleton_horse
entity.stray.name,entity.minecraft.stray
entity.slime.name,entity.minecraft.slime
entity.small_fireball.name,entity.minecraft.small_fireball
entity.sniffer.name,entity.minecraft.sniffer
entity.snowball.name,entity.minecraft.snowball
entity.snow_golem.name,entity.minecraft.snow_golem
entity.spider.name,entity.minecraft.spider
entity.splash_potion.name,entity.minecraft.potion
entity.squid.name,entity.minecraft.squid
entity.strider.name,entity.minecraft.strider
entity.thrown_trident.name,entity.minecraft.trident
entity.turtle.name,entity.minecraft.turtle
entity.unknown.name,mco.backup.unknown
entity.vex.name,entity.minecraft.vex
entity.villager.name,entity.minecraft.villager.none
entity.villager.armor,entity.minecraft.villager.armorer
entity.villager.butcher,entity.minecraft.villager.butcher
entity.villager.cartographer,entity.minecraft.villager.cartographer
entity.villager.cleric,entity.minecraft.villager.cleric
entity.villager.farmer,entity.minecraft.villager.farmer
entity.villager.fisherman,entity.minecraft.villager.fisherman
entity.villager.fletcher,entity.minecraft.villager.fletcher
entity.villager.leather,entity.minecraft.villager.leatherworker
entity.villager.librarian,entity.minecraft.villager.librarian
entity.villager.shepherd,entity.minecraft.villager.shepherd
entity.villager_v2.name,entity.minecraft.villager.none
entity.vindicator.name,entity.minecraft.vindicator
entity.wandering_trader.name,entity.minecraft.wandering_trader
entity.witch.name,entity.minecraft.witch
entity.wither.name,entity.minecraft.wither
entity.wither_skeleton.name,entity.minecraft.wither_skeleton
entity.wither_skull.name,entity.minecraft.wither_skull
entity.wither_skull_dangerous.name,entity.minecraft.wither_skull
entity.wolf.name,entity.minecraft.wolf
entity.xp_orb.name,entity.minecraft.experience_orb
entity.xp_bottle.name,item.minecraft.experience_bottle
entity.zoglin.name,entity.minecraft.zoglin
entity.zombie.name,entity.minecraft.zombie
entity.zombie_horse.name,entity.minecraft.zombie_horse
entity.zombie_pigman.name,entity.minecraft.zombified_piglin
entity.zombie_villager.name,entity.minecraft.zombie_villager
entity.zombie_villager_v2.name,entity.minecraft.zombie_villager
addExternalServerScreen.addServer,selectServer.add
addExternalServerScreen.nameTextBoxLabel,addServer.enterName
addExternalServerScreen.ipTextBoxLabel,addServer.enterIp
addExternalServerScreen.saveButtonLabel,selectWorld.edit.save
addExternalServerScreen.playButtonLabel,mco.selectServer.play
addExternalServerScreen.removeButtonLabel,mco.configure.world.invites.remove.tooltip
addExternalServerScreen.removeConfirmation,selectServer.deleteQuestion
feature.ruins,createWorld.customize.custom.useOceanRuins
feed.comments,gui.abuseReport.comments
feed.edit,selectWorld.edit
feed.return,key.keyboard.menu
feed.cancel,gui.cancel
feed.delete,selectWorld.delete
feed.clubdescription,mco.configure.world.description
furnaceScreen.header,container.furnace
gameMode.adventure,gameMode.adventure
gameMode.changed,gameMode.changed
gameMode.creative,gameMode.creative
gameMode.hardcore,gameMode.hardcore
gameMode.spectator,gameMode.spectator
gameMode.survival,gameMode.survival
generator.amplified,generator.minecraft.amplified
